SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT.1,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BEL.1.0.99.0.UBRA,BEL,1.0,0.0,99.0,0.0,UBRA,Belgium,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.136338,0.133042,0.132735,0.123387,0.127126,0.175733,0.192559,0.212245,0.241038,0.260227,0.338589,0.319919,0.388107,0.457402,0.456186,0.482992,0.654832,0.600816,0.739408,0.256611,-0.20936,0.004884,-0.422241,-0.487403,-0.309815,-0.010778,0.087499,0.477057,0.483947,0.092061,0.289054,0.923866,0.942711,2.823802,4.596876,4.836573,5.115959,5.427194,5.610546,5.6445,6.6073,4.9446,4.7223,5.3693,4.1215,3.8733,4.6761,4.7798,8.5553,6.8121,5.5345,0.5985,8.7582,9.0654,8.2161,5.8486,3.8415,3.9542,4.6414,4.0422,4.1511,6.5243,6.7398,8.1105,6.443265,5.429388,4.112553
BGR.1.0.99.0.UBRA,BGR,1.0,0.0,99.0,0.0,UBRA,Bulgaria,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40709,-0.064442,-0.164665,-0.167886,-0.08843,-1.048417,-0.344852,-0.317257,-0.156325,-0.335947,0.037435,0.400372,0.301368,0.275264,-0.023653,-0.67311,-2.149447,-1.586987,-0.699207,-0.796436,-1.297617,-0.561964,-0.924936,-0.37058,-0.910042,-0.125176,0.67783,,-2.954136,-2.301411,-3.45158,-4.649657,-4.534801,-3.353794,-3.744159,-3.962601
CZE.1.0.99.0.UBRA,CZE,1.0,0.0,99.0,0.0,UBRA,Czechia,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2226,-0.13177,-0.35869,-0.79075,-0.82401,-0.88233,-1.13322,-1.3037,-2.13203,-3.14181,-2.98076,-4.57331,-5.09717,-7.7535,-8.95181,-9.87304,-10.32672,-12.35927,-13.27723,-10.16276,-9.83213,-10.56546,-12.52175,-13.31376,-12.49763,-12.20552,-14.18082,-11.36874,-7.20049,-11.67921,-4.50478,-3.68006,-3.84827,-3.95116
DNK.1.0.99.0.UBRA,DNK,1.0,0.0,99.0,0.0,UBRA,Denmark,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.00795,-0.00068,0.0023,-0.00311,-0.00325,-0.00568,0.08201,0.07558,0.05456,0.07213,0.05126,0.03431,0.06291,0.30515,0.13886,0.17142,0.2733,0.44182,0.51072,0.07922,-0.35491,-0.88431,-1.41304,-1.40964,-1.93703,-2.23314,-2.18281,-1.98193,-2.26183,-2.72807,-3.19162,-3.48545,-3.37382,-2.89455,-2.96237,-2.55198,-2.89591,-2.77032,-2.24954,-1.75872,-4.05229,-2.71468,-2.36161,-1.73079,0.24879,1.71541,2.73156,1.15547,2.69448,2.30573,3.97742,5.22706,5.74877,8.19276,9.64624,8.39557,7.08766,6.46961,8.42461,8.97059,10.09751,13.62991,12.14077,10.70953,10.64845,10.56428,10.48295
DEU.1.0.99.0.UBRA,DEU,1.0,0.0,99.0,0.0,UBRA,Germany,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8702,14.5745,11.467,1.1555,-2.6815,0.2346,-3.8233,-11.5405,-15.097,-12.67,-15.949,-23.402,-23.141,13.695,18.861,40.505,36.465,24.494,55.701,52.217,70.331,67.297,66.996,62.294,60.536,91.317,84.409,134.757,130.629,87.183,124.291,143.299,146.667,159.7749,164.0636,169.0474
D_W.1.0.99.0.UBRA,D_W,1.0,0.0,99.0,0.0,UBRA,West Germany,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.06537,-0.07197,-0.06543,-0.0631,-0.13554,-0.22668,-0.19396,-0.15261,0.10205,0.21112,0.54367,0.32189,0.1367,0.12536,0.14574,0.6478,1.10453,0.50219,2.41793,0.96585,1.13125,0.08558,-0.53506,1.83478,5.18208,5.50822,3.73118,2.47367,7.89158,9.87292,10.73181,1.91696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST.1.0.99.0.UBRA,EST,1.0,0.0,99.0,0.0,UBRA,Estonia,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011973,-0.02442,0.000418,-0.001844,-0.131841,-0.076504,-0.0982,-0.2266,-0.316,-0.348,-0.4623,-0.4682,-0.4208,-0.6691,-1.0621,-0.8687,-0.4306,-0.7925,-0.8518,-0.7431,-0.4581,-0.5525,-0.4457,-0.4627,-0.5627,-0.5358,-0.5516,-0.3957,-0.6951,-0.8609,-1.1952,-1.217483,-1.258528,-1.29548
IRL.1.0.99.0.UBRA,IRL,1.0,0.0,99.0,0.0,UBRA,Ireland,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.0419,0.0464,0.0468,0.0466,0.0484,0.0667,0.0607,0.0635,0.0739,0.0664,0.0664,0.0621,0.0659,0.0249,0.0374,0.0077,-0.0579,-0.1658,-0.3437,-0.4227,-0.5297,-0.7302,-1.3453,-1.6559,-2.2575,-2.7486,-2.7492,-2.7241,-3.2787,-4.0021,-2.9655,-2.9308,-3.6294,-3.5561,-3.6607,-4.469,-4.7375,-6.8831,-8.0539,-11.8588,-13.9142,-17.7967,-21.977,-20.0723,-21.3824,-22.8136,-22.7552,-26.6935,-25.1665,-27.9033,-26.6865,-31.9311,-33.5806,-28.8194,-31.2647,-60.7476,-51.1767,-66.4683,-80.8666,-89.3172,-102.699,-128.1534,-164.418,-121.6005,-122.8142,-134.8623,-144.898
GRC.1.0.99.0.UBRA,GRC,1.0,0.0,99.0,0.0,UBRA,Greece,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.066432,0.081074,0.083784,0.100361,0.123667,0.124352,0.128122,0.144344,0.181101,0.191093,0.212771,0.298193,0.316343,0.378167,0.619547,0.57401,0.770444,0.899846,0.849598,1.025161,1.18717,1.191503,1.130163,0.689962,0.326097,0.032599,-0.251017,-0.074455,-0.103237,-0.163833,0.521816,0.872497,1.011229,0.513092,0.736391,2.049815,1.471729,1.80919,1.649026,1.86017,1.363798,0.37484,0.91149,-0.9946,-1.37698,-2.69519,-4.42572,-6.33558,-7.55235,-5.65042,-4.95634,-5.63335,0.46142,-1.34583,-0.34162,-1.34839,-1.9726,-2.08206,-3.35397,-2.71559,-1.69318,-1.31738,-2.7172,-7.04506,-7.953177,-7.596248,-7.225561
ESP.1.0.99.0.UBRA,ESP,1.0,0.0,99.0,0.0,UBRA,Spain,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,-0.00631,-0.00468,-0.00312,-0.00312,-0.0312,-0.0101,-0.11245,-0.12603,-0.14451,-0.22026,-0.23573,-0.21275,-0.21266,-0.15,0.0053,-0.24193,-0.51497,-0.69095,-0.86386,-0.81427,-1.30376,-2.31935,-2.64652,-2.80904,-3.13551,-2.5609,-2.15631,-2.14196,-2.98386,-2.94472,-3.4909,-4.31278,-5.34507,-3.52949,-7.43769,0.23784,-1.70477,-2.55867,-4.35312,-5.485,-4.632,-9.702,-8.492,-6.582,-8.017,-12.809,-18.619,-26.473,-30.905,-20.605,-15.743,-18.787,-8.413,-6.593,-3.685,-0.85,1.81,-0.494,0.436,1.205,2.059,8.248,6.001,-7.221,4.83782,6.23391,6.60323
